2;3;5;7;11;13;17;19;23;29;31
;;;;;;;;;Absicht (1) Kinder machen so genetisch, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;
Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), respektvoll mit sich in Selbstreflektion (15) das anstreben, was alle Lebewesen anstreben;Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), hat man die Wahrheit (10) zum freundschaftlichen (10) Überleben;Durch Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten (30), unversehrt bleiben;;;;;;;;
;;;;;;;;;;Absicht (1): Kinder keinesfalls von den besten Transzendenten zeugen lassen, sondern von normalen Menschen (wobei diese dann wohl auch Transzendenz haben, durch voran gegangene Züchtungen).
Aus Selbstherrlichkeit (32) Selbstgenügsames (16) anstreben, was alle Lebewesen anstreben;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Durch materiellen Nachteil (36), der vielleicht sogar hier angestrebt wird, die Art des Zuneigung-Bezeugen anstreben, wie sie alle Lebewesen anstreben.;Durch materiellen Nachteil (36), der vielleicht sogar hier angestrebt wird, hat man eine Ordnung mit der man überlebt;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;Durch Selbstlos zu Selbstlosen sein (49) multipliziert sich die gute Absicht, sofern diese absichtvollen Menschen überhaupt das Gute bewirken können, wodurch man selbst als Anführer geeignet sein kann;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Kinder so genetisch machen können, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert,aber mit viel Mühe der Eltern.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Aus Ignoranz (64) Selbstherrliches anstreben, das alle Lebewesen anstreben;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Durch Zuspitzung (81) kann man sich loslösen (27), zum überleben (3*n);;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;Nutzen (3): die Abhängigkeit vom gleichen Geschlecht nutzen. Das Kind ist abhängig von deren Abhängigkeit.  Damit: Kinder so genetisch machen, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Durch Unterordnung (100), durch Konzept 50 … was alle Lebewesen anstreben;;Durch Unterordnung (100), kann die Familie (20) unversehrt bleiben;;;;;;;;
